Año_Transfer,Periodo_de_corte,Nit_Transfer,Name_Entidad,Codigo_Departamento,Departamento,Codigo_del_Impuesto,Concepto,Tipo_Sorteo,ValorTransferido,Mes
2020,1,890980058,Lotería de Medellín,25,Cundinamarca,1,Impuesto a foráneas,Ordinario,26631098,Enero
2020,1,899999025,Lotería de la Cruz Roja,11,Bogotá D.C.,9,Premios No Reclamados,Ordinario,87412965,Enero
2020,1,890399027,Lotería del Valle,52,Nariño,1,Impuesto a foráneas,Ordinario,6882900,Enero
2020,1,899999270,Lotería de Bogotá,11,Bogotá D.C.,2,Renta del monopolio - Porcentaje de ingresos,Ordinario,706521600,Enero
2020,1,860026634,Sorteo Extra de Colombia,8,Atlántico,3,Impuesto a ganadores,ExtraOrdinario,10682398,Enero
2020,1,800244699,Lotería del Huila,44,La Guajira,1,Impuesto a foráneas,Ordinario,200475,Enero
2020,1,890399027,Lotería del Valle,27,Chocó,1,Impuesto a foráneas,Ordinario,3137400,Enero
2020,1,800244699,Lotería del Huila,63,Quindio,1,Impuesto a foráneas,Ordinario,2991150,Enero
2020,1,890399027,Lotería del Valle,50,Meta,1,Impuesto a foráneas,Ordinario,136200,Enero
2020,1,890000474,Lotería del Quindio,27,Chocó,1,Impuesto a foráneas,Ordinario,885000,Enero
2020,1,800244699,Lotería del Huila,52,Nariño,1,Impuesto a foráneas,Ordinario,1225350,Enero
2020,1,891801039,Lotería de Boyacá,94,Guainía,1,Impuesto a foráneas,Ordinario,7875,Enero
2020,1,800240153,Lotería del Risaralda,88,San Andrés,1,Impuesto a foráneas,Ordinario,95175,Enero
2020,1,890980058,Lotería de Medellín,50,Meta,1,Impuesto a foráneas,Ordinario,6067350,Enero
2020,1,899999270,Lotería de Bogotá,86,Putumayo,1,Impuesto a foráneas,Ordinario,786750,Enero
2020,1,800244699,Lotería del Huila,13,Bolívar,1,Impuesto a foráneas,Ordinario,2303775,Enero
2020,1,890399027,Lotería del Valle,23,Córdoba,1,Impuesto a foráneas,Ordinario,10636800,Enero
2020,1,890000474,Lotería del Quindio,23,Córdoba,1,Impuesto a foráneas,Ordinario,1247700,Enero
2020,1,890980058,Lotería de Medellín,86,Putumayo,1,Impuesto a foráneas,Ordinario,859950,Enero
2020,1,899999025,Lotería de la Cruz Roja,44,La Guajira,1,Impuesto a foráneas,Ordinario,3450000,Enero
2020,1,899999270,Lotería de Bogotá,23,Córdoba,1,Impuesto a foráneas,Ordinario,17574375,Enero
2020,1,899999025,Lotería de la Cruz Roja,8,Atlántico,1,Impuesto a foráneas,Ordinario,15064875,Enero
2020,1,891801039,Lotería de Boyacá,70,Sucre,1,Impuesto a foráneas,Ordinario,7500750,Enero
2020,1,890801007,Lotería de Manizales,44,La Guajira,1,Impuesto a foráneas,Ordinario,27563,Enero
2020,1,891500650,Lotería del Cauca,17,Caldas,1,Impuesto a foráneas,Ordinario,1620450,Enero
2020,1,890980058,Lotería de Medellín,85,Casanare,1,Impuesto a foráneas,Ordinario,1294650,Enero
2020,1,891801039,Lotería de Boyacá,15,Boyacá,2,Renta del monopolio - Porcentaje de ingresos,Ordinario,875043600,Enero
2020,1,800240153,Lotería del Risaralda,23,Córdoba,1,Impuesto a foráneas,Ordinario,984825,Enero
2020,1,890399027,Lotería del Valle,8,Atlántico,1,Impuesto a foráneas,Ordinario,17199300,Enero
2020,1,891500650,Lotería del Cauca,18,Caquetá,1,Impuesto a foráneas,Ordinario,832951,Enero
2020,1,899999025,Lotería de la Cruz Roja,13,Bolívar,1,Impuesto a foráneas,Ordinario,8372250,Enero
2020,1,800244699,Lotería del Huila,41,Huila,2,Renta del monopolio - Porcentaje de ingresos,Ordinario,131811480,Enero
2020,1,800240153,Lotería del Risaralda,66,Risaralda,3,Impuesto a ganadores,Ordinario,67325521,Enero
2020,1,899999025,Lotería de la Cruz Roja,5,Antioquia,1,Impuesto a foráneas,Ordinario,48600750,Enero
2020,1,899999025,Lotería de la Cruz Roja,19,Cauca,1,Impuesto a foráneas,Ordinario,2903250,Enero
2020,1,890201725,Lotería Santander,85,Casanare,1,Impuesto a foráneas,Ordinario,1280250,Enero
2020,1,890801007,Lotería de Manizales,52,Nariño,1,Impuesto a foráneas,Ordinario,1300500,Enero
2020,1,800123949,Lotería del Meta,44,La Guajira,1,Impuesto a foráneas,Ordinario,345375,Enero
2020,1,860037234,Lotería de Cundinamarca,11,Bogotá D.C.,3,Impuesto a ganadores,Ordinario,128786652,Enero
